id,program_id,university_id,applicant_gpa_4_0,applicant_lang_test,applicant_lang_score,outcome,year,synthetic
1,1,1,4.0,IELTS,6.9,reject,2025,True
2,1,1,4.0,IELTS,5.6,reject,2023,True
3,1,1,3.49,IELTS,7.3,reject,2024,True
4,1,1,3.58,IELTS,6.1,reject,2025,True
5,1,1,3.86,IELTS,6.6,admit,2025,True
6,1,1,3.64,IELTS,7.9,reject,2025,True
7,1,1,3.61,IELTS,6.4,admit,2025,True
8,1,1,4.0,IELTS,7.3,reject,2024,True
9,1,1,4.0,IELTS,7.1,reject,2024,True
10,1,1,3.99,IELTS,6.9,reject,2025,True
11,1,1,3.53,IELTS,8.0,reject,2025,True
12,1,1,3.34,IELTS,6.5,reject,2024,True
13,1,1,4.0,IELTS,7.2,reject,2023,True
14,2,1,4.0,IELTS,5.7,reject,2023,True
15,2,1,3.82,IELTS,6.4,reject,2023,True
16,2,1,3.64,IELTS,7.2,admit,2024,True
17,2,1,4.0,IELTS,6.1,admit,2024,True
18,2,1,3.34,IELTS,6.5,admit,2023,True
19,2,1,4.0,IELTS,7.1,admit,2023,True
20,2,1,3.64,IELTS,6.6,admit,2025,True
21,2,1,3.84,IELTS,7.4,reject,2023,True
22,2,1,3.41,IELTS,6.5,admit,2025,True
23,2,1,3.7,IELTS,5.6,reject,2023,True
24,2,1,3.84,IELTS,5.9,reject,2023,True
25,2,1,4.0,IELTS,8.0,reject,2023,True
26,2,1,3.98,IELTS,7.7,admit,2023,True
27,3,1,3.67,IELTS,6.2,reject,2025,True
28,3,1,3.46,IELTS,6.2,admit,2025,True
29,3,1,4.0,IELTS,6.2,reject,2025,True
30,3,1,3.65,IELTS,6.8,admit,2023,True
31,3,1,3.7,IELTS,7.0,admit,2025,True
32,3,1,4.0,IELTS,6.8,reject,2023,True
33,3,1,4.0,IELTS,6.7,admit,2024,True
34,3,1,3.62,IELTS,7.7,reject,2024,True
35,4,1,4.0,IELTS,7.9,admit,2024,True
36,4,1,4.0,IELTS,7.5,reject,2023,True
37,4,1,3.87,IELTS,6.7,reject,2024,True
38,4,1,3.67,IELTS,6.8,reject,2025,True
39,4,1,4.0,IELTS,7.2,reject,2024,True
40,4,1,3.6,IELTS,8.0,reject,2024,True
41,4,1,4.0,IELTS,6.1,admit,2025,True
42,4,1,3.62,IELTS,7.0,admit,2025,True
43,4,1,4.0,IELTS,5.6,admit,2025,True
44,5,1,4.0,IELTS,6.3,reject,2024,True
